# name¤description¤file
# date : 28 Feb 2020
# Author : Anwar Buchoo
# symbols used in this file : — ¤ # - + <> </> & ¤ ()
# version : 1.0

Selections 9, 10, 11¤ ¤files/selection/07-SELECTION 9,10,11.pdf
Selections 12, 13, 14¤ ¤files/selection/08-SELECTION 12,13,14.pdf
Selections 15, 16¤ ¤files/selection/09-SELECTION 15,16.pdf
Selections 17, 18¤ ¤files/selection/10-SELECTION 17,18.pdf
Selections 19, 20¤ ¤files/selection/11-SELECTION 19,20.pdf
Selections 21, 22, 23¤ ¤files/selection/12-SELECTION 21,22,23.pdf
Selections 24, 25, 26¤ ¤files/selection/13-SELECTION 24,25,26.pdf
Selections 27, 28, 29¤ ¤files/selection/14-SELECTION 27,28,29.pdf
Selections 30, 31, 32¤ ¤files/selection/15-SELECTION 30,31,32.pdf
Selections 33, 34, 35¤ ¤files/selection/16-SELECTION 33,34,35.pdf
Selections 36, 37, 38¤ ¤files/selection/17-SELECTION 36,37,38.pdf
Selections 39, 40, 41¤ ¤files/selection/18-SELECTION 39,40,41.pdf
Selections 42, 43, 44¤ ¤files/selection/19-SELECTION 42,43,44.pdf
Selections 45, 46, 47¤ ¤files/selection/20-SELECTION 45,46,47.pdf
Selections 48, 49, 50¤ ¤files/selection/21-SELECTION 48,49,50.pdf
Selections 51, 52, 53¤ ¤files/selection/22-SELECTION 51,52,53.pdf
Selections 54, 55, 56¤ ¤files/selection/23-SELECTION 54,55,56.pdf
Selections 57, 58¤ ¤files/selection/24-SELECTION 57,58.pdf
Selections 59, 60¤ ¤files/selection/25-SELECTION 59,60.pdf
Selections 61, 62, 63¤ ¤files/selection/26-SELECTION 61,62,63.pdf
Selections 70, 71¤ ¤files/selection/29-SELECTION 70,71.pdf
Selections 72, 73, 74¤ ¤files/selection/30-SELECTION 72,73,74.pdf
Selections 75, 76¤ ¤files/selection/31-SELECTION 75,76.pdf
Selections 77, 78¤ ¤files/selection/32-SELECTION 77,78.pdf
Selections 79, 80, 81, 82¤ ¤files/selection/33-SELECTION 79,80,81,82.pdf
Selections 83, 84, 85, 86¤ ¤files/selection/34-SELECTION 83,84,85,86.pdf
Selections 87, 88, 89¤ ¤files/selection/35-SELECTION 87,88,89.pdf
Selections 90, 91, 92, 93¤ ¤files/selection/36-SELECTION 90,91,92,93.pdf

# end of file
